Movie,Distributor,Genre,RunTime,MPAA,Budget,ForeignSale
The Family Tree,Entertainment One,Comedy / Drama,87,Unrated,,
The Imperialists Are Still Alive!,IFC,Drama,90,Unrated,,
Aurora,Cinema Guild,Foreign,181,Unrated,,5098
Rage (Rabia),Strand,Foreign,89,Unrated,,402976
Elevate,Variance Films,Documentary,81,PG,,
And They're Off,Kinobild Releasing,Comedy,90,PG-13,,
Tanner Hall,Anchor Bay Films,Drama,,R,,
Flypaper,IFC,Crime Comedy,87,Unrated,,3137111
Burke and Hare,IFC,Comedy,92,R,,4344354
The Catechism Cataclysm,IFC,Horror Comedy,81,Unrated,,
Campus Radio,Extra Butter,Romantic Comedy,,PG-13,,
Daylight (2011),Cinema Purgatorio,Horror Thriller,74,Unrated,,
Caterpillar,Lorber Films,Foreign,84,Unrated,,247765
To Die Like a Man,Strand,Foreign,133,Unrated,,926
The Harvest/La Cosecha,Cinema Libre,Documentary,84,Unrated,,
Passion Play,Image Entertainment,Drama / Thriller,91,R,,
Building Hope,The Nobelity Project,Documentary,72,Unrated,,
The Sons of Tennessee Williams,First Run,Documentary,82,Unrated,,
Plastic Planet,First Run,Documentary,95,Unrated,,836258
Balls to the Wall,Rocky Mountain Pictures,Comedy,,R,,
The Weird World of Blowfly,Variance Films,Documentary,89,Unrated,,
The Lie,Screen Media,Drama,80,R,,
Protektor,Film Movement,Foreign,98,Unrated,,468952
Zokkomon,UTV Communications,Foreign,109,PG,,
Blood Ties,AfterLight,Action,93,Unrated,20000,
Restitution,"Monterey Media, Inc.",Crime Thriller,101,R,,
United Red Army,Lorber Films,Foreign,190,Unrated,,
Knuckle,Vitagraph,Documentary,97,R,,
Main Street,Magnolia,Drama,92,PG,,
Sidewalls,IFC,Foreign,93,Unrated,,
Pool Boys,Cinedigm Entertainment,Comedy,87,R,,
"Love, Wedding, Marriage",IFC,Romantic Comedy,90,PG-13,,
Now & Later,Cinema Libre,Drama,99,Unrated,,
Chalet Girl,IFC,Romantic Comedy,97,R,,1747747
They're Out of Business,IFC,Comedy,89,Unrated,,
The Tunnel (2011),Blackrock Films,Horror Thriller,90,Unrated,135000,
Little Girl (La Pivellina),First Run,Foreign,100,Unrated,,236085
An Invisible Sign,IFC,Drama,96,PG-13,,
Romeos,Strand,Foreign,94,Unrated,,
Strangers Online,Breaking Glass Pictures,Drama / Thriller,107,R,,
Angels Crest,Magnolia,Drama,96,R,,
Redneck Carnage,Found-Charger Cinema,Horror,90,Unrated,20000,
Illegal (2011),Film Movement,Foreign,90,Unrated,,289457
A Good Day to Die,Alive Mind Cinema,Documentary,90,Unrated,,
Toy Story 3,Buena Vista,Animation,103,G,200000000,648167031
Alice in Wonderland (2010),Buena Vista,Family Adventure,109,PG,200000000,691276000
Iron Man 2,Paramount,Action / Adventure,125,PG-13,200000000,311500000
The Twilight Saga:Eclipse,Summit Entertainment,Romance,124,PG-13,68000000,397959596
Harry Potter and the Deathly Hallows Part 1,Warner Bros.,Fantasy,150,PG-13,,664300000
Inception,Warner Bros.,Sci-Fi Action,148,PG-13,160000000,292576195
Despicable Me,Universal,Animation,95,PG,69000000,251513985
Shrek Forever After,Paramount (DreamWorks),Animation,93,PG,165000000,513864080
How to Train Your Dragon,Paramount (DreamWorks),Animation,98,PG,165000000,217581231
Tangled,Buena Vista,Animation,100,PG,260000000,390973000
The Karate Kid,Sony / Columbia,Action Drama,140,PG,40000000,176591618
Tron Legacy,Buena Vista,Sci-Fi Action,125,PG,170000000,228000000
True Grit,Paramount,Western,110,PG-13,38000000,81033922
Clash of the Titans (2010),Warner Bros.,Fantasy,118,PG-13,125000000,330000105
Grown Ups,Sony / Columbia,Comedy,102,PG-13,80000000,109429003
Little Fockers,Universal,Comedy,98,PG-13,100000000,162211985
Megamind,Paramount (DreamWorks),Animation,96,PG,130000000,173469912
The King's Speech,Weinstein Company,Historical Drama,118,R,15000000,275414100
The Last Airbender,Paramount,Fantasy,103,PG,150000000,187941694
Shutter Island,Paramount,Period Drama,138,R,80000000,166791261
The Other Guys,Sony / Columbia,Action Comedy,107,PG-13,100000000,51212949
Salt,Sony / Columbia,Action Thriller,99,PG-13,110000000,175191986
Jackass 3-D,Paramount,Comedy,94,R,20000000,54456100
Valentine's Day,Warner Bros. (New Line),Romantic Comedy,117,PG-13,52000000,106000000
Black Swan,Fox Searchlight,Drama / Thriller,103,R,13000000,222443368
Robin Hood,Universal,Period Adventure,148,PG-13,200000000,216400011
The Chronicles of Narnia:The Voyage of the Dawn Treader,Fox,Fantasy,112,PG,155000000,311299267
The Expendables,Lionsgate,Action,103,R,80000000,171401870
Due Date,Warner Bros.,Comedy,95,R,65000000,111241781
Yogi Bear,Warner Bros.,Family Comedy,82,PG,80000000,101338130
Date Night,Fox,Comedy,88,PG-13,55000000,53552476
The Social Network,Sony / Columbia,Comedy / Drama,120,PG-13,40000000,127957621
Sex and the City 2,Warner Bros. (New Line),Romantic Comedy,147,R,100000000,193000000
The Book of Eli,Warner Bros.,Action / Adventure,118,R,80000000,62272696
The Fighter,Paramount,Sports Drama,114,R,25000000,35573860
The Town,Warner Bros.,Crime Drama,123,R,37000000,61839874
Prince of Persia:The Sands of Time,Buena Vista,Adventure,115,PG-13,200000000,245606000
Red,Summit Entertainment,Action Comedy,111,PG-13,58000000,108626225
Percy Jackson & The Olympians:The Lightning Thief,Fox,Fantasy,120,PG,95000000,137728906
Paranormal Activity 2,Paramount,Horror,91,R,3000000,92759125
Unstoppable,Fox,Action Thriller,98,PG-13,100000000,86242524
Eat Pray Love,Sony / Columbia,Drama,133,PG-13,60000000,124020006
Dear John,Sony / Screen Gems,Romance,108,PG-13,25000000,34962262
The A-Team,Fox,Action,117,PG-13,110000000,100016697
Knight & Day,Fox,Comedy,130,PG-13,117000000,185507401
Dinner for Schmucks,Paramount (DreamWorks),Comedy,110,PG-13,69000000,13829402
The Tourist,Sony / Columbia,Romantic Thriller,103,PG-13,100000000,210715032
The Bounty Hunter,Sony / Columbia,Action Comedy,106,PG-13,40000000,69272294
Diary of a Wimpy Kid,Fox,Comedy,120,PG,15000000,11696873
The Sorcerer's Apprentice,Buena Vista,Fantasy,111,PG,150000000,152132751
A Nightmare on Elm Street (2010),Warner Bros. (New Line),Horror,90,R,35000000,52589026
The Last Song,Buena Vista,Drama,107,PG,20000000,26091272
The Wolfman,Universal,Horror,102,R,150000000,77810085
Get Him to the Greek,Universal,Comedy,109,R,40000000,30287004
Resident Evil:Afterlife,Sony / Screen Gems,Action Horror,100,R,60000000,236093097
Tyler Perry's Why Did I Get Married Too?,Lionsgate,Comedy / Drama,121,PG-13,20000000,578120
Tooth Fairy,Fox,Fantasy Comedy,102,PG,48000000,52440252
Secretariat,Buena Vista,Sports Drama,116,PG,35000000,537416
Easy A,Sony / Screen Gems,Romantic Comedy,92,PG-13,8000000,16550841
Takers,Sony / Screen Gems,Action / Crime,107,PG-13,32000000,11310975
Legend of the Guardians:The Owls of Ga'Hoole,Warner Bros.,Animation,90,PG,80000000,84398077
Life as We Know It,Warner Bros.,Comedy,112,PG-13,38000000,52274025
Letters to Juliet,Summit Entertainment,Romance,105,PG,30000000,26149297
Wall Street:Money Never Sleeps,Fox,Drama,127,PG-13,70000000,82273405
Predators,Fox,Sci-Fi Horror,107,R,40000000,75232420
Hubble 3D,Warner Bros.,IMAX,43,G,,51698013
Hot Tub Time Machine,MGM,Comedy,100,R,36000000,14284706
Kick-Ass,Lionsgate,Action Comedy,117,R,30000000,48117600
Killers,Lionsgate,Action Comedy,100,PG-13,75000000,51100000
Saw 3D,Lionsgate,Horror,91,R,20000000,90440256
Cop Out,Warner Bros.,Comedy,110,R,30000000,10708323
Cats & Dogs:The Revenge of Kitty Galore,Warner Bros.,Family Comedy,82,PG,85000000,68898011
Edge of Darkness,Warner Bros.,Drama / Thriller,108,R,80000000,37810239
Gulliver's Travels,Fox,Adventure Comedy,85,PG,112000000,194603463
Death at a Funeral (2010),Sony / Screen Gems,Comedy,90,R,21000000,6311539
Step Up 3-D,Buena Vista,Music Drama,97,PG-13,30000000,116891586
The Last Exorcism,Lionsgate,Horror,100,PG-13,,26703740
Legion (2010),Sony / Screen Gems,Horror Thriller,100,R,26000000,27750578
Burlesque,Sony / Screen Gems,Musical,100,PG-13,55000000,50079118
The Crazies,Overture Films,Horror,101,R,20000000,15683234
For Colored Girls,Lionsgate,Drama,120,R,21000000,17318
The Back-Up Plan,CBS Films,Romantic Comedy,98,PG-13,35000000,39987001
Vampires Suck,Fox,Horror Comedy,80,PG-13,20000000,43886362
The American,Focus Features,Drama / Thriller,105,R,20000000,32269905
Green Zone,Universal,Thriller,115,R,100000000,59828889
Marmaduke,Fox,Family Comedy,87,PG,50000000,50117056
Devil,Universal,Horror,80,PG-13,,29094299
Hereafter,Warner Bros.,Drama,129,PG-13,50000000,72450694
When in Rome,Buena Vista,Romantic Comedy,91,PG-13,,10362202
Love and Other Drugs,Fox,Comedy / Drama,113,R,30000000,70453003
She's Out of My League,Paramount,Romantic Comedy,104,R,20000000,17768868
Scott Pilgrim vs. the World,Universal,Action Comedy,113,PG-13,60000000,31524275
Charlie St. Cloud,Universal,Drama,90,PG-13,44000000,17028159
Morning Glory,Paramount,Comedy,102,PG-13,40000000,29029244
How Do You Know,Sony / Columbia,Comedy / Drama,116,PG-13,120000000,18456287
Daybreakers,Lionsgate,Horror,98,R,20000000,21314887
Nanny McPhee Returns,Universal,Family,100,PG,35000000,64239906
The Switch,Miramax,Comedy,100,PG-13,19000000,22051181
Brooklyn's Finest,Overture Films,Action / Crime,133,R,17000000,9276608
Machete,Fox,Action / Adventure,105,R,,17499670
Ramona and Beezus,Fox,Family,104,G,15000000,26167002
Leap Year,Universal,Romantic Comedy,97,PG,19000000,6688396
You Again,Buena Vista,Comedy,105,PG,20000000,6303195
Alpha and Omega,Lionsgate,Animation,88,PG,,25400000
Piranha 3D,Weinstein / Dimension,Horror,89,R,24000000,58185010
Lottery Ticket,Warner Bros.,Comedy,99,PG-13,17000000,
The Spy Next Door,Lionsgate,Action Comedy,92,PG,28000000,20929457
From Paris with Love,Lionsgate,Action,95,R,52000000,28749167
The Losers,Warner Bros.,Action,98,PG-13,25000000,5788291
Faster,CBS Films,Action,98,R,24000000,12386938
Just Wright,Fox Searchlight,Romantic Comedy,111,PG,,29900
Skyline,Universal,Thriller,100,PG-13,10000000,45427416
The Next Three Days,Lionsgate,Action Thriller,122,PG-13,30000000,46300000
The Kids Are All Right,Focus Features,Comedy,106,R,4000000,13894485
Our Family Wedding,Fox Searchlight,Comedy,90,PG-13,,1153747
Country Strong,Sony / Screen Gems,Music Drama,112,PG-13,15000000,310273
Oceans,Buena Vista,Documentary,103,G,80000000,63229120
Remember Me,Summit Entertainment,Romance,128,PG-13,16000000,36964649
127 Hours,Fox Searchlight,Drama,93,R,18000000,42403567
Going the Distance,Warner Bros. (New Line),Romantic Comedy,97,R,32000000,24248458
Furry Vengeance,Summit Entertainment,Family Comedy,92,PG,35000000,18606245
Splice,Warner Bros.,Sci-Fi Horror,104,R,30000000,9847289
The Ghost Writer,Summit Entertainment,Thriller,128,PG-13,45000000,44680749
Youth in Revolt,Weinstein / Dimension,Comedy,90,R,18000000,4369807
My Soul to Take,Universal,Horror,107,R,25000000,6231967
Repo Men,Universal,Sci-Fi Action,111,R,32000000,4615056
Case 39,Paramount Vantage,Horror Thriller,109,R,26000000,14928128
Let Me In,Overture Films,Horror,115,R,20000000,12010678
Extraordinary Measures,CBS Films,Drama,106,PG,31000000,3065980
Avatar:Special Edition,Fox,Sci-Fi Adventure,160,PG-13,,22469358
Jonah Hex,Warner Bros.,Western,81,PG-13,47000000,356195
The Girl with the Dragon Tattoo,Music Box Films,Thriller,152,R,13000000,94300000
Blue Valentine,Weinstein Company,Drama,112,R,1000000,2649406
Fair Game (2010),Summit Entertainment,Action Thriller,108,PG-13,22000000,14648231
Get Low,Sony Classics,Comedy,100,PG-13,7000000,518349
MacGruber,Universal,Comedy,88,R,10000000,797295
The Girl Who Played with Fire,Music Box Films,Thriller,129,R,,59488554
Cyrus,Fox Searchlight,Comedy,92,R,7000000,2454919
Babies,Focus Features,Documentary,79,PG,,2175039
Conviction,Fox Searchlight,Drama,107,R,,2926926
City Island,Anchor Bay Films,Comedy,100,PG-13,6000000,1204826
The Last Station,Sony Classics,Historical Drama,112,R,18000000,6932905
Winter's Bone,Roadside Attractions,Drama,100,R,2000000,7265331
"Waiting for ""Superman""",Paramount Vantage,Documentary,102,PG,,9322
The Secret in Their Eyes,Sony Classics,Crime Drama,127,R,,27573843
It's Kind of a Funny Story,Focus Features,Drama,101,PG-13,8000000,127612
Sea Rex 3D:Journey to a Prehistoric World,3D Entertainment,IMAX,,Unrated,5000000,9907568
The Warrior's Way,Relativity,Western,100,R,42000000,5421229
The Girl Who Kicked the Hornet's Nest,Music Box Films,Foreign,148,R,,38307912
I Am Love,Magnolia,Foreign,120,R,,5901103
Mao's Last Dancer,Samuel Goldwyn,Drama,127,PG,,17451353
Solitary Man,Anchor Bay Films,Comedy / Drama,90,R,15000000,818034
Inside Job,Sony Classics,Documentary,120,PG-13,2000000,3558787
Greenberg,Focus Features,Comedy / Drama,107,R,,1919797
Please Give,Sony Classics,Comedy / Drama,90,R,3000000,279511
My Name is Khan,Fox Searchlight,Foreign,145,PG-13,,38326589
To Save a Life,Samuel Goldwyn,Drama,120,PG-13,500000,45815
The Runaways,Apparition,Drama,109,R,10000000,1107978
Exit Through the Gift Shop,Producers Distribution Agency,Documentary,87,R,,2017368
You Will Meet a Tall Dark Stranger,Sony Classics,Romance,98,R,22000000,31027741
Catfish,Rogue Pictures,Documentary,94,PG-13,,242271
Another Year,Sony Classics,Drama,129,PG-13,8000000,16517060
Chloe,Sony Classics,Drama,96,R,14000000,8627387
Joan Rivers:A Piece of Work,IFC,Documentary,84,R,,
Letters to God,Vivendi Entertainment,Drama,110,PG,3000000,60315
N'Secure,Freestyle Releasing,Drama,109,R,,
Never Let Me Go,Fox Searchlight,Drama / Thriller,104,R,15000000,7020580
Twilight/New Moon Combo (one-night-only),Summit Entertainment,Romance,250,PG-13,,
The Illusionist (2010),Sony Classics,Animation,82,PG,17000000,3370957
Rabbit Hole,Lionsgate,Drama,92,PG-13,5000000,2900000
A Prophet (Un proph__te),Sony Classics,Foreign,150,R,13000000,15785971
"I Love You, Phillip Morris",Roadside Attractions,Comedy,100,R,13000000,18685384
Harry Brown,Samuel Goldwyn,Crime Thriller,103,R,,8511066
Stone,Overture Films,Drama / Thriller,105,R,22000000,7669640
Somewhere,Focus Features,Comedy / Drama,98,R,7000000,12151264
Flipped,Warner Bros.,Comedy,90,PG,14000000,
Kites,Reliance Big Pictures,Romance,130,Unrated,,1281265
Coco Chanel & Igor Stravinsky,Sony Classics,Foreign,115,R,,4132264
Cairo Time,IFC,Romance,88,PG,,391396
Raajneeti,UTV Communications,Drama,178,Unrated,,11089666
The Joneses,Roadside Attractions,Drama,95,R,10000000,5546982
Nowhere Boy,Weinstein Company,Drama,98,R,,5120531
Restrepo,National Geographic Entertainment,Documentary,94,R,,105497
Dabangg,Eros,Foreign / Action,155,Unrated,,1654005
Micmacs,Sony Classics,Comedy,105,R,42000000,15082254
Housefull,Eros,Comedy,135,Unrated,,1156892
Golmaal 3,Eros,Foreign,155,Unrated,,935479
Mother and Child,Sony Classics,Drama,125,R,7000000,3870227
Made in Dagenham,Sony Classics,Drama,113,R,,11299718
Tees Maar Khan,UTV Communications,Foreign,135,Unrated,,1377971
La Mission,Screen Media,Drama,117,R,,
Buried,Lionsgate,Thriller,100,R,,18108337
Animal Kingdom,Sony Classics,Crime Drama,112,R,,5749943
Casino Jack,ATO Pictures,Thriller,108,R,,40724
The Perfect Game,IndustryWorks,Sports Drama,118,PG,,2841922
2010 Oscar Shorts,Shorts International,Unknown,,Unrated,,
Guzaarish,UTV Communications,Foreign,135,Unrated,,694905
The Salvation Poem (Poema de Salvacion),CanZion Films,Drama,78,PG-13,,182932
The Wildest Dream,National Geographic Entertainment,Documentary,94,PG,,
Princess Kaiulani,Roadside Attractions,Drama,97,PG,9000000,
Anjaana Anjaani,Eros,Foreign,155,Unrated,,761131
I Hate Luv Storys,UTV Communications,Foreign,135,Unrated,,14871219
What If...,Five & Two Pictures,Drama,100,PG,,
The Tillman Story,Weinstein Company,Documentary,94,R,,
Peepli Live,UTV Communications,Foreign,104,Unrated,,8702980
Middle Men,Paramount Vantage,Crime Comedy,105,R,20000000,
North Face,Music Box Films,Historical Drama,126,Unrated,,216283
Raavan,Reliance Big Pictures,Drama / Thriller,138,Unrated,,647735
The Secret of Kells,GKIDS,Animation,75,Unrated,8000000,676775
Mid-August Lunch,Zeitgeist,Foreign,75,Unrated,,8708045
The Polar Express (IMAX re-issue 2010),Warner Bros.,IMAX,100,G,,
The Concert,Weinstein Company,Foreign,119,PG-13,,40488365
We Are Family,UTV Communications,Foreign,115,Unrated,,392926
The Virginity Hit,Sony / Columbia,Comedy,86,R,2000000,
Ajami,Kino,Drama,120,Unrated,1000000,669445
Agora,Newmarket,Historical Drama,127,R,70000000,38422082
Vincere,IFC,Historical Drama,128,Unrated,13000000,5078839
Howl,Oscilloscope Pictures,Drama,90,R,,565924
Elvis On Tour 75th Anniversary,Warner Bros.,Documentary,93,G,,
All Good Things,Magnolia,Thriller,101,R,,62511
Tamara Drewe,Sony Classics,Comedy,107,R,,11350304
Mesrine:Killer Instinct,Music Box Films,Crime Thriller,113,R,,30503743
Mother (2010),Magnolia,Crime Drama,128,R,,16561204
Ondine,Magnolia,Drama,102,PG-13,12000000,1094283
The Art of the Steal,IFC,Documentary,101,Unrated,,
Jack Goes Boating,Overture Films,Comedy,89,R,,77578
Khatta Meetha,Eros,Foreign,155,Unrated,,498910
Standing Ovation,Rocky Mountain Pictures,Family,106,PG,,
Mademoiselle Chambon,Lorber Films,Romance,101,Unrated,,4745439
Metropolis (2010 re-issue),Kino,Sci-Fi,120,Unrated,,
The Man From Nowhere,CJ Entertainment,Foreign,,R,,42531615
Veer (2010),Eros,Historical Drama,,Unrated,,277269
Preacher's Kid,8X Entertainment,Drama,101,PG-13,,
Heartbreaker,IFC,Foreign,105,Unrated,,46851157
The City of Your Final Destination,Screen Media,Drama / Thriller,114,PG-13,,858570
The Most Dangerous Man in America:Daniel Ellsberg and the Pentagon Papers,First Run,Documentary,94,Unrated,,
The Extra Man,Magnolia,Comedy,108,R,,4490
Vision,Zeitgeist,Foreign,111,Unrated,,4608604
I Want Your Money,Freestyle Releasing,Documentary,92,PG,,
Break Ke Baad,Reliance Big Pictures,Foreign,113,Unrated,,389360
If You Are the One 2 (Fei Cheng Wu Rao II),China Lion,Comedy,,Unrated,,75643458
I'm Still Here,Magnolia,Comedy / Drama,108,R,,159980
The Square,Apparition,Drama / Thriller,105,R,,
Wild Grass,Sony Classics,Foreign,104,PG,,4197398
Tiny Furniture,IFC,Comedy,99,Unrated,,
Fish Tank,IFC,Drama,123,Unrated,3000000,1983177
Lebanon,Sony Classics,Foreign,94,R,,830093
Grease (Sing-a-Long re-issue),Paramount,Musical,110,PG-13,,188755690
Breathless (2010 re-issue),Rialto,Crime Drama,90,Unrated,,363031
Like Dandelion Dust,Blue Collar Releasing,Drama,100,PG-13,,
Creation,Newmarket,Historical Drama,108,PG-13,,554975
Enter the Void,IFC,Drama,150,Unrated,16000000,417782
Kings of Pastry,First Run,Documentary,84,Unrated,,
A Film Unfinished,Oscilloscope Pictures,Documentary,88,Unrated,,
The Yellow Handkerchief,Samuel Goldwyn,Drama,102,PG-13,,
Today's Special,Vitagraph,Comedy,99,R,,
Four Lions,Drafthouse,Comedy,97,R,,4353954
White Material,IFC,Foreign,100,Unrated,,
Holy Rollers,First Independent Pictures,Crime Drama,89,R,,304963
Last Train Home,Zeitgeist,Documentary,85,Unrated,,
Karthik Calling Karthik,Eros,Comedy Thriller,155,Unrated,,7090
No Problem,Eros,Foreign,143,Unrated,,368901
Life During Wartime,IFC,Comedy / Drama,98,R,,486569
The Tempest,Miramax,Romance,110,PG-13,20000000,68651
Soul Kitchen,IFC,Foreign,99,Unrated,,17595895
Mesrine:Public Enemy No. 1,Music Box Films,Crime Thriller,133,R,,28126
Countdown to Zero,Magnolia,Documentary,90,PG,,
Jean-Michel Basquiat:The Radiant Child,Arthouse Films,Documentary,88,Unrated,,
My Dog Tulip,New Yorker,Animation,82,Unrated,,
Frozen (2010),Anchor Bay Films,Horror,94,R,,2904910
When You're Strange,Abramorama,Documentary,90,R,,900926
Monsters,Magnolia,Sci-Fi,92,R,500000,4005677
Rare Exports:A Christmas Tale,Oscilloscope Pictures,Fantasy,100,R,,3778786
The Exorcist Extended Director's Cut,Warner Bros.,Horror,132,R,,
Formosa Betrayed,Screen Media,Thriller,86,R,,100693
The Black Waters of Echo's Pond,Parallel Media,Horror,100,R,,
The Killer Inside Me,IFC,Crime Drama,109,R,13000000,3759915
La Soga,7-57 Releasing,Foreign,102,R,,
The Girl on the Train,Strand,Foreign,105,Unrated,9000000,97117
Sweetgrass,Cinema Guild,Documentary,105,Unrated,,
Legendary,Samuel Goldwyn,Sports Drama,107,PG-13,,
South of the Border,Cinema Libre,Documentary,78,Unrated,,70809
The Nutcracker in 3D,Freestyle Releasing,Fantasy,108,PG,90000000,15983500
"A Woman, A Gun and A Noodle Shop",Sony Classics,Drama,95,R,,121311
Client 9:The Rise and Fall of Eliot Spitzer,Magnolia,Documentary,117,R,,3454
Nick Saban:Gamechanger,Flashlight,Documentary,90,Unrated,,
Waste Land,Arthouse Films,Documentary,99,Unrated,,88690
Twelve,Hannover House,Thriller,98,R,5000000,2382797
Human Centipede,IFC,Horror,90,R,,70740
Winnebago Man,Kino,Documentary,87,Unrated,,
Casino Jack and the United States of Money,Magnolia,Documentary,122,R,,
71 Into the Fire,JS Media & Entertainment,War,120,Unrated,,20791022
Leaving,IFC,Foreign,83,Unrated,,892665
Terribly Happy,Oscilloscope Pictures,Drama,99,Unrated,,
Chance Pe Dance,UTV Communications,Foreign,,Unrated,,24271
Genius Within:The Inner Life of Glenn Gould,Lorber Films,Documentary,106,Unrated,,
The Disappearance of Alice Creed,Anchor Bay Films,Thriller,100,R,,700734
De Mai Tinh (Fool for Love),Variance Films,Foreign,100,PG-13,,
Welcome to the Rileys,Samuel Goldwyn,Drama,110,R,,158484
Red Riding Trilogy,IFC,Crime Thriller,307,Unrated,9000000,
The Cremaster Cycle (re-issue),International Film Circuit,Unknown,398,Unrated,,
House (re-release),Janus Films,Foreign / Horror,,Unrated,,
Only the Brave,Indican,War,99,R,,
Carlos,IFC,Action Thriller,140,Unrated,18000000,725753
Father of My Children,IFC,Drama,120,Unrated,,335260
The Weathered Underground,Indican,Action Thriller,310,Unrated,,
Chain Letter,New Films Cinema,Horror Thriller,96,R,3000000,446574
Love Ranch,eOne Entertainment,Drama,117,R,25000000,
Pure Country 2,Warner Bros.,Music Drama,,PG,,
The Eclipse,Magnolia,Romance,88,R,3000000,26441
Warlords,Magnolia,Foreign / Action,,R,,
"The Good, the Bad, the Weird",IFC,Action / Adventure,130,R,10000000,44132723
Stonewall Uprising,First Run,Documentary,82,Unrated,,
"Lovely, Still","Monterey Media, Inc.",Drama,92,PG,,105519
Ran (2010 re-issue),Rialto,Drama,162,R,,
Centurion,Magnolia,Action / Adventure,97,R,12000000,6691219
Valley of the Heart's Delight,Indican,Drama,100,Unrated,,
See What I'm Saying:The Deaf Entertainers Documentary,Worldplay,Documentary,90,PG-13,,
Touching Home,CFI Releasing,Drama,111,PG-13,,
The Greatest (2010),Paladin,Drama,,R,6000000,359363
Bran Nue Dae,Freestyle Releasing,Musical,85,PG-13,,
Marwencol,Cinema Guild,Documentary,83,Unrated,,
Let it Rain,IFC,Comedy,110,Unrated,,
Dogtooth,Kino,Foreign,96,Unrated,,273899
Best Worst Movie,Abramorama,Documentary,93,Unrated,,
Blood Done Sign My Name,Paladin,Drama,128,PG-13,10000000,
Undertow (2010),The Film Collaborative,Foreign,100,Unrated,,392636
After.Life,Anchor Bay Films,Horror Thriller,97,R,,1894023
Wild Target,Freestyle Releasing,Comedy Thriller,98,PG-13,8000000,3344454
Inspector Bellamy,IFC,Foreign,110,Unrated,,3574042
The Romantics,Four of a Kind,Romantic Comedy,95,PG-13,,17296
Saint John of Las Vegas,IndieVest Pictures,Comedy / Drama,85,R,,9086
Everyone Else,Cinema Guild,Romance,119,Unrated,,
George A. Romero's Survival of the Dead,Magnolia,Horror,90,R,4000000,41451
Freakonomics,Magnolia,Documentary,85,PG-13,,16408
Feed the Fish,Strand,Comedy,,Unrated,,
The Good Guy,Roadside Attractions,Romantic Comedy,90,R,10000000,
8:The Mormon Proposition,Red Flag Releasing,Documentary,80,R,,
Bhutto,First Run,Documentary,111,Unrated,,
Kings of the Evening,Indican,Period Drama,99,PG,,
Outside the Law (Hors-la-loi),Unknown,Foreign,138,Unrated,,3298780
I Spit on Your Grave,Anchor Bay Films,Horror,108,Unrated,2000000,479758
Oy Vey! My Son is Gay!,Saint Juste,Comedy,91,PG-13,,
OSS 117:Lost in Rio,Music Box Films,Foreign,97,Unrated,,
Crazy on the Outside,Freestyle Releasing,Comedy,96,PG-13,,
The Cartel,Moving Pictures Institute,Documentary,93,Unrated,,
No One Knows About Persian Cats,IFC,Drama,106,Unrated,,798169
Kisses,Oscilloscope Pictures,Drama,72,Unrated,,15253
Summer Wars,GKIDS,Animation,114,PG,,
Waking Sleeping Beauty,Buena Vista,Documentary,86,PG,,4177
Breaking Upwards,IFC,Romance,89,Unrated,15000,
Night Catches Us,Magnolia,Drama,88,R,,
Prodigal Sons,First Run,Documentary,86,Unrated,,
Enemies of the People,International Film Circuit,Documentary,93,Unrated,,6425
The Sicilian Girl,Music Box Films,Crime Drama,115,Unrated,,
Rosencrantz & Guildenstern Are Undead,Indican,Action,85,R,,
Leaves of Grass,First Look,Crime Comedy,105,R,9000000,948687
Strange Powers:Stephin Merritt and the Magnetic Fields,Variance Films,Documentary,82,Unrated,,
Budrus,Balcony Releasing,Documentary,78,Unrated,,
2012:Time for Change,Mangusta Productions,Documentary,,Unrated,,
Le Amiche (re-issue),The Film Desk,Drama,104,Unrated,,
John Rabe,Strand,Historical Drama,134,Unrated,,
The Sun Behind the Clouds:Tibet's Struggle for Freedom,Balcony Releasing,Documentary,79,Unrated,,
Dancing Across Borders,First Run,Documentary,88,Unrated,,
Racing Dreams,Hannover House,Documentary,96,PG,,
Aftershock (Tangshan Dadizhen),China Lion,Foreign,135,Unrated,,100229867
Cool It,Roadside Attractions,Documentary,88,PG,,
Alamar,Film Movement,Drama,73,Unrated,,
Orlando (re-issue),Sony Classics,Romance,93,PG-13,,
Looking for Eric,IFC,Comedy,116,Unrated,,11499521
The Nature of Existence,Walking Shadows,Documentary,94,Unrated,,
The Lottery,Variance Films,Documentary,109,Unrated,,
The Harimaya Bridge,Eleven Arts,Drama,120,Unrated,,
Harlan:In the Shadow of Jew Suss,Zeitgeist,Documentary,99,Unrated,,
God of Vampires,Nocturnal Features,Action Horror,106,Unrated,,
Hatchet 2,Vitagraph,Horror,96,Unrated,,
Cropsey,Cinema Purgatorio,Documentary,84,Unrated,,
Breath Made Visible,Argot Pictures,Documentary,80,Unrated,,
The Human Experience,Grassroots Films,Documentary,90,PG-13,,
The Strange Case of Angelica,Cinema Guild,Foreign,97,Unrated,,
Tales from Earthsea,Buena Vista,Animation,115,PG-13,,48461
Every Man for Himself (2010 re-issue),The Film Desk,Foreign,87,Unrated,,
Change of Plans,IFC,Foreign,100,Unrated,,
Ca$h,Roadside Attractions,Thriller,108,R,,
William S. Burroughs:A Man Within,Oscilloscope Pictures,Documentary,90,Unrated,,
Defendor,Darius Films,Comedy / Drama,95,R,,
